Comunidades autónomas;Tipología penal;Periodos:;Total
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;Variación % 2025/2024;23,0
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;217.414
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;222.462
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;2,3
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;19.533
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;20.152
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;3,2
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;4
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;9
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;125,0
EXTREMADURA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;24
EXTREMADURA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;19
EXTREMADURA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-20,8
EXTREMADURA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;312
EXTREMADURA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;380
EXTREMADURA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;21,8
EXTREMADURA;4. Secuestro;enero-septiembre 2024;1
EXTREMADURA;4. Secuestro;enero-septiembre 2025;0
EXTREMADURA;4. Secuestro;Variación % 2025/2024;-100,0
EXTREMADURA;5. Delitos contra la libertad sexual;enero-septiembre 2024;279
EXTREMADURA;5. Delitos contra la libertad sexual;enero-septiembre 2025;241
EXTREMADURA;5. Delitos contra la libertad sexual;Variación % 2025/2024;-13,6
EXTREMADURA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;52
EXTREMADURA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;51
EXTREMADURA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;-1,9
EXTREMADURA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;227
EXTREMADURA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;190
EXTREMADURA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-16,3
EXTREMADURA;6. Robos con violencia e intimidación;enero-septiembre 2024;212
EXTREMADURA;6. Robos con violencia e intimidación;enero-septiembre 2025;261
EXTREMADURA;6. Robos con violencia e intimidación;Variación % 2025/2024;23,1
EXTREMADURA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;1.349
EXTREMADURA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;1.161
EXTREMADURA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-13,9
EXTREMADURA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;926
EXTREMADURA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;769
EXTREMADURA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-17,0
EXTREMADURA;8. Hurtos;enero-septiembre 2024;4.739
EXTREMADURA;8. Hurtos;enero-septiembre 2025;4.511
EXTREMADURA;8. Hurtos;Variación % 2025/2024;-4,8
EXTREMADURA;9. Sustracciones de vehículos;enero-septiembre 2024;118
EXTREMADURA;9. Sustracciones de vehículos;enero-septiembre 2025;129
EXTREMADURA;9. Sustracciones de vehículos;Variación % 2025/2024;9,3
EXTREMADURA;10. Tráfico de drogas;enero-septiembre 2024;227
EXTREMADURA;10. Tráfico de drogas;enero-septiembre 2025;205
EXTREMADURA;10. Tráfico de drogas;Variación % 2025/2024;-9,7
EXTREMADURA;11. Resto de criminalidad convencional;enero-septiembre 2024;12.268
EXTREMADURA;11. Resto de criminalidad convencional;enero-septiembre 2025;13.236
EXTREMADURA;11. Resto de criminalidad convencional;Variación % 2025/2024;7,9
EXTREMADURA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;6.478
EXTREMADURA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;7.163
EXTREMADURA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;10,6
EXTREMADURA;12.-Estafas informáticas;enero-septiembre 2024;5.167
EXTREMADURA;12.-Estafas informáticas;enero-septiembre 2025;5.645
EXTREMADURA;12.-Estafas informáticas;Variación % 2025/2024;9,3
EXTREMADURA;13.-Otros ciberdelitos;enero-septiembre 2024;1.311
EXTREMADURA;13.-Otros ciberdelitos;enero-septiembre 2025;1.518
EXTREMADURA;13.-Otros ciberdelitos;Variación % 2025/2024;15,8
EXTREMADURA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;26.011
EXTREMADURA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;27.315
EXTREMADURA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;5,0
GALICIA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;54.280
GALICIA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;53.102
GALICIA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-2,2
GALICIA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;11
GALICIA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;7
GALICIA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-36,4
GALICIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;32
GALICIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;46
GALICIA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;43,8
GALICIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;932
GALICIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.062
GALICIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;13,9
GALICIA;4. Secuestro;enero-septiembre 2024;3
GALICIA;4. Secuestro;enero-septiembre 2025;2
GALICIA;4. Secuestro;Variación % 2025/2024;-33,3
GALICIA;5. Delitos contra la libertad sexual;enero-septiembre 2024;591
GALICIA;5. Delitos contra la libertad sexual;enero-septiembre 2025;635
GALICIA;5. Delitos contra la libertad sexual;Variación % 2025/2024;7,4
GALICIA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;134
GALICIA;5.1.-Agresión sexual con penetración;enero-septiembre 2025;131
GALICIA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;-2,2
GALICIA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;457
GALICIA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;504
GALICIA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;10,3
GALICIA;6. Robos con violencia e intimidación;enero-septiembre 2024;753
GALICIA;6. Robos con violencia e intimidación;enero-septiembre 2025;711
GALICIA;6. Robos con violencia e intimidación;Variación % 2025/2024;-5,6
GALICIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;3.291
GALICIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;2.855
GALICIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-13,2
GALICIA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.932
GALICIA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;1.763
GALICIA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-8,7
GALICIA;8. Hurtos;enero-septiembre 2024;15.036
GALICIA;8. Hurtos;enero-septiembre 2025;13.833
GALICIA;8. Hurtos;Variación % 2025/2024;-8,0
GALICIA;9. Sustracciones de vehículos;enero-septiembre 2024;403
GALICIA;9. Sustracciones de vehículos;enero-septiembre 2025;367
GALICIA;9. Sustracciones de vehículos;Variación % 2025/2024;-8,9
GALICIA;10. Tráfico de drogas;enero-septiembre 2024;375
GALICIA;10. Tráfico de drogas;enero-septiembre 2025;363
GALICIA;10. Tráfico de drogas;Variación % 2025/2024;-3,2
GALICIA;11. Resto de criminalidad convencional;enero-septiembre 2024;32.853
GALICIA;11. Resto de criminalidad convencional;enero-septiembre 2025;33.221
GALICIA;11. Resto de criminalidad convencional;Variación % 2025/2024;1,1
GALICIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;17.190
GALICIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;19.816
GALICIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;15,3
GALICIA;12.-Estafas informáticas;enero-septiembre 2024;14.548
GALICIA;12.-Estafas informáticas;enero-septiembre 2025;16.880
GALICIA;12.-Estafas informáticas;Variación % 2025/2024;16,0
GALICIA;13.-Otros ciberdelitos;enero-septiembre 2024;2.642
GALICIA;13.-Otros ciberdelitos;enero-septiembre 2025;2.936
GALICIA;13.-Otros ciberdelitos;Variación % 2025/2024;11,1
GALICIA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;71.470
GALICIA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;72.918
GALICIA;III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;2,0
MADRID (COMUNIDAD DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;243.956
MADRID (COMUNIDAD DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;238.765
MADRID (COMUNIDAD DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-2,1
MADRID (COMUNIDAD DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;17
MADRID (COMUNIDAD DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;19
MADRID (COMUNIDAD DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;11,8
MADRID (COMUNIDAD DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;126
MADRID (COMUNIDAD DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;104
MADRID (COMUNIDAD DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-17,5
MADRID (COMUNIDAD DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;2.669
MADRID (COMUNIDAD DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;2.934
MADRID (COMUNIDAD DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;9,9
MADRID (COMUNIDAD DE);4. Secuestro;enero-septiembre 2024;11
MADRID (COMUNIDAD DE);4. Secuestro;enero-septiembre 2025;8
MADRID (COMUNIDAD DE);4. Secuestro;Variación % 2025/2024;-27,3
MADRID (COMUNIDAD DE);5. Delitos contra la libertad sexual;enero-septiembre 2024;2.258
MADRID (COMUNIDAD DE);5. Delitos contra la libertad sexual;enero-septiembre 2025;2.420
MADRID (COMUNIDAD DE);5. Delitos contra la libertad sexual;Variación % 2025/2024;7,2
MADRID (COMUNIDAD DE);5.1.-Agresión sexual con penetración;enero-septiembre 2024;512
MADRID (COMUNIDAD DE);5.1.-Agresión sexual con penetración;enero-septiembre 2025;536
MADRID (COMUNIDAD DE);5.1.-Agresión sexual con penetración;Variación % 2025/2024;4,7
MADRID (COMUNIDAD DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;1.746
MADRID (COMUNIDAD DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;1.884
MADRID (COMUNIDAD DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;7,9
MADRID (COMUNIDAD DE);6. Robos con violencia e intimidación;enero-septiembre 2024;8.485
MADRID (COMUNIDAD DE);6. Robos con violencia e intimidación;enero-septiembre 2025;7.674
MADRID (COMUNIDAD DE);6. Robos con violencia e intimidación;Variación % 2025/2024;-9,6
MADRID (COMUNIDAD DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;10.256
MADRID (COMUNIDAD DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;9.406
MADRID (COMUNIDAD DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-8,3
MADRID (COMUNIDAD DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;6.736
MADRID (COMUNIDAD DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;6.139
MADRID (COMUNIDAD DE);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-8,9
MADRID (COMUNIDAD DE);8. Hurtos;enero-septiembre 2024;87.828
MADRID (COMUNIDAD DE);8. Hurtos;enero-septiembre 2025;82.515
MADRID (COMUNIDAD DE);8. Hurtos;Variación % 2025/2024;-6,0
MADRID (COMUNIDAD DE);9. Sustracciones de vehículos;enero-septiembre 2024;5.244
MADRID (COMUNIDAD DE);9. Sustracciones de vehículos;enero-septiembre 2025;5.150
MADRID (COMUNIDAD DE);9. Sustracciones de vehículos;Variación % 2025/2024;-1,8
MADRID (COMUNIDAD DE);10. Tráfico de drogas;enero-septiembre 2024;2.769
MADRID (COMUNIDAD DE);10. Tráfico de drogas;enero-septiembre 2025;3.270
MADRID (COMUNIDAD DE);10. Tráfico de drogas;Variación % 2025/2024;18,1
MADRID (COMUNIDAD DE);11. Resto de criminalidad convencional;enero-septiembre 2024;124.293
MADRID (COMUNIDAD DE);11. Resto de criminalidad convencional;enero-septiembre 2025;125.265
MADRID (COMUNIDAD DE);11. Resto de criminalidad convencional;Variación % 2025/2024;0,8
MADRID (COMUNIDAD DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;54.522
MADRID (COMUNIDAD DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;57.441
MADRID (COMUNIDAD DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;5,4
MADRID (COMUNIDAD DE);12.-Estafas informáticas;enero-septiembre 2024;48.481
MADRID (COMUNIDAD DE);12.-Estafas informáticas;enero-septiembre 2025;49.832
MADRID (COMUNIDAD DE);12.-Estafas informáticas;Variación % 2025/2024;2,8
MADRID (COMUNIDAD DE);13.-Otros ciberdelitos;enero-septiembre 2024;6.041
MADRID (COMUNIDAD DE);13.-Otros ciberdelitos;enero-septiembre 2025;7.609
MADRID (COMUNIDAD DE);13.-Otros ciberdelitos;Variación % 2025/2024;26,0
MADRID (COMUNIDAD DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;298.478
MADRID (COMUNIDAD DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;296.206
MADRID (COMUNIDAD DE);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-0,8
MURCIA (REGIÓN DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;45.942
MURCIA (REGIÓN DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;45.398
MURCIA (REGIÓN DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-1,2
MURCIA (REGIÓN DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;11
MURCIA (REGIÓN DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;18
MURCIA (REGIÓN DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;63,6
MURCIA (REGIÓN DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;53
MURCIA (REGIÓN DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;68
MURCIA (REGIÓN DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;28,3
MURCIA (REGIÓN DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;994
MURCIA (REGIÓN DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;1.012
MURCIA (REGIÓN DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;1,8
MURCIA (REGIÓN DE);4. Secuestro;enero-septiembre 2024;3
MURCIA (REGIÓN DE);4. Secuestro;enero-septiembre 2025;4
MURCIA (REGIÓN DE);4. Secuestro;Variación % 2025/2024;33,3
MURCIA (REGIÓN DE);5. Delitos contra la libertad sexual;enero-septiembre 2024;596
MURCIA (REGIÓN DE);5. Delitos contra la libertad sexual;enero-septiembre 2025;554
MURCIA (REGIÓN DE);5. Delitos contra la libertad sexual;Variación % 2025/2024;-7,0
MURCIA (REGIÓN DE);5.1.-Agresión sexual con penetración;enero-septiembre 2024;99
MURCIA (REGIÓN DE);5.1.-Agresión sexual con penetración;enero-septiembre 2025;103
MURCIA (REGIÓN DE);5.1.-Agresión sexual con penetración;Variación % 2025/2024;4,0
MURCIA (REGIÓN DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;497
MURCIA (REGIÓN DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;451
MURCIA (REGIÓN DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-9,3
MURCIA (REGIÓN DE);6. Robos con violencia e intimidación;enero-septiembre 2024;1.604
MURCIA (REGIÓN DE);6. Robos con violencia e intimidación;enero-septiembre 2025;1.669
MURCIA (REGIÓN DE);6. Robos con violencia e intimidación;Variación % 2025/2024;4,1
MURCIA (REGIÓN DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;3.886
MURCIA (REGIÓN DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;3.273
MURCIA (REGIÓN DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-15,8
MURCIA (REGIÓN DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;3.015
MURCIA (REGIÓN DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;2.519
MURCIA (REGIÓN DE);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-16,5
MURCIA (REGIÓN DE);8. Hurtos;enero-septiembre 2024;12.198
MURCIA (REGIÓN DE);8. Hurtos;enero-septiembre 2025;11.560
MURCIA (REGIÓN DE);8. Hurtos;Variación % 2025/2024;-5,2
MURCIA (REGIÓN DE);9. Sustracciones de vehículos;enero-septiembre 2024;722
MURCIA (REGIÓN DE);9. Sustracciones de vehículos;enero-septiembre 2025;643
MURCIA (REGIÓN DE);9. Sustracciones de vehículos;Variación % 2025/2024;-10,9
MURCIA (REGIÓN DE);10. Tráfico de drogas;enero-septiembre 2024;432
MURCIA (REGIÓN DE);10. Tráfico de drogas;enero-septiembre 2025;446
MURCIA (REGIÓN DE);10. Tráfico de drogas;Variación % 2025/2024;3,2
MURCIA (REGIÓN DE);11. Resto de criminalidad convencional;enero-septiembre 2024;25.443
MURCIA (REGIÓN DE);11. Resto de criminalidad convencional;enero-septiembre 2025;26.151
MURCIA (REGIÓN DE);11. Resto de criminalidad convencional;Variación % 2025/2024;2,8
MURCIA (REGIÓN DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;9.935
MURCIA (REGIÓN DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;10.121
MURCIA (REGIÓN DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;1,9
MURCIA (REGIÓN DE);12.-Estafas informáticas;enero-septiembre 2024;8.653
MURCIA (REGIÓN DE);12.-Estafas informáticas;enero-septiembre 2025;8.726
MURCIA (REGIÓN DE);12.-Estafas informáticas;Variación % 2025/2024;0,8
MURCIA (REGIÓN DE);13.-Otros ciberdelitos;enero-septiembre 2024;1.282
MURCIA (REGIÓN DE);13.-Otros ciberdelitos;enero-septiembre 2025;1.395
MURCIA (REGIÓN DE);13.-Otros ciberdelitos;Variación % 2025/2024;8,8
MURCIA (REGIÓN DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;55.877
MURCIA (REGIÓN DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;55.519
MURCIA (REGIÓN DE);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;-0,6
NAVARRA (COMUNIDAD FORAL DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;21.977
NAVARRA (COMUNIDAD FORAL DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;22.301
NAVARRA (COMUNIDAD FORAL DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;1,5
NAVARRA (COMUNIDAD FORAL DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;3
NAVARRA (COMUNIDAD FORAL DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;7
NAVARRA (COMUNIDAD FORAL DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;133,3
NAVARRA (COMUNIDAD FORAL DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;17
NAVARRA (COMUNIDAD FORAL DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;22
NAVARRA (COMUNIDAD FORAL DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;29,4
NAVARRA (COMUNIDAD FORAL DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;359
NAVARRA (COMUNIDAD FORAL DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2025;449
NAVARRA (COMUNIDAD FORAL DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;25,1
NAVARRA (COMUNIDAD FORAL DE);4. Secuestro;enero-septiembre 2024;0
NAVARRA (COMUNIDAD FORAL DE);4. Secuestro;enero-septiembre 2025;1
NAVARRA (COMUNIDAD FORAL DE);4. Secuestro;Variación % 2025/2024;100,0
NAVARRA (COMUNIDAD FORAL DE);5. Delitos contra la libertad sexual;enero-septiembre 2024;351
NAVARRA (COMUNIDAD FORAL DE);5. Delitos contra la libertad sexual;enero-septiembre 2025;302
NAVARRA (COMUNIDAD FORAL DE);5. Delitos contra la libertad sexual;Variación % 2025/2024;-14,0
NAVARRA (COMUNIDAD FORAL DE);5.1.-Agresión sexual con penetración;enero-septiembre 2024;50
NAVARRA (COMUNIDAD FORAL DE);5.1.-Agresión sexual con penetración;enero-septiembre 2025;57
NAVARRA (COMUNIDAD FORAL DE);5.1.-Agresión sexual con penetración;Variación % 2025/2024;14,0
NAVARRA (COMUNIDAD FORAL DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;301
NAVARRA (COMUNIDAD FORAL DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2025;245
NAVARRA (COMUNIDAD FORAL DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-18,6
NAVARRA (COMUNIDAD FORAL DE);6. Robos con violencia e intimidación;enero-septiembre 2024;353
NAVARRA (COMUNIDAD FORAL DE);6. Robos con violencia e intimidación;enero-septiembre 2025;436
NAVARRA (COMUNIDAD FORAL DE);6. Robos con violencia e intimidación;Variación % 2025/2024;23,5
NAVARRA (COMUNIDAD FORAL DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;1.045
NAVARRA (COMUNIDAD FORAL DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2025;968
NAVARRA (COMUNIDAD FORAL DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-7,4
NAVARRA (COMUNIDAD FORAL DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;741
NAVARRA (COMUNIDAD FORAL DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2025;731
NAVARRA (COMUNIDAD FORAL DE);7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-1,3
NAVARRA (COMUNIDAD FORAL DE);8. Hurtos;enero-septiembre 2024;6.457
NAVARRA (COMUNIDAD FORAL DE);8. Hurtos;enero-septiembre 2025;6.521
NAVARRA (COMUNIDAD FORAL DE);8. Hurtos;Variación % 2025/2024;1,0
NAVARRA (COMUNIDAD FORAL DE);9. Sustracciones de vehículos;enero-septiembre 2024;118
NAVARRA (COMUNIDAD FORAL DE);9. Sustracciones de vehículos;enero-septiembre 2025;139
NAVARRA (COMUNIDAD FORAL DE);9. Sustracciones de vehículos;Variación % 2025/2024;17,8
NAVARRA (COMUNIDAD FORAL DE);10. Tráfico de drogas;enero-septiembre 2024;180
NAVARRA (COMUNIDAD FORAL DE);10. Tráfico de drogas;enero-septiembre 2025;133
NAVARRA (COMUNIDAD FORAL DE);10. Tráfico de drogas;Variación % 2025/2024;-26,1
NAVARRA (COMUNIDAD FORAL DE);11. Resto de criminalidad convencional;enero-septiembre 2024;13.094
NAVARRA (COMUNIDAD FORAL DE);11. Resto de criminalidad convencional;enero-septiembre 2025;13.323
NAVARRA (COMUNIDAD FORAL DE);11. Resto de criminalidad convencional;Variación % 2025/2024;1,7
NAVARRA (COMUNIDAD FORAL DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;5.170
NAVARRA (COMUNIDAD FORAL DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2025;4.886
NAVARRA (COMUNIDAD FORAL DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2025/2024;-5,5
NAVARRA (COMUNIDAD FORAL DE);12.-Estafas informáticas;enero-septiembre 2024;4.484
NAVARRA (COMUNIDAD FORAL DE);12.-Estafas informáticas;enero-septiembre 2025;4.289
NAVARRA (COMUNIDAD FORAL DE);12.-Estafas informáticas;Variación % 2025/2024;-4,3
NAVARRA (COMUNIDAD FORAL DE);13.-Otros ciberdelitos;enero-septiembre 2024;686
NAVARRA (COMUNIDAD FORAL DE);13.-Otros ciberdelitos;enero-septiembre 2025;597
NAVARRA (COMUNIDAD FORAL DE);13.-Otros ciberdelitos;Variación % 2025/2024;-13,0
NAVARRA (COMUNIDAD FORAL DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;27.147
NAVARRA (COMUNIDAD FORAL DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2025;27.187
NAVARRA (COMUNIDAD FORAL DE);III. TOTAL INFRACCIONES PENALES;Variación % 2025/2024;0,1
PAÍS VASCO;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;61.764
PAÍS VASCO;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2025;62.071
PAÍS VASCO;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;0,5
PAÍS VASCO;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;5
PAÍS VASCO;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2025;10
PAÍS VASCO;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;100,0
PAÍS VASCO;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;59
PAÍS VASCO;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2025;32
PAÍS VASCO;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;-45,8
